frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,base_deg,shoulder_deg,elbow_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm
78,3.863866,1,1,1,1,0.593478,0.948422,7.578327,-0.324307,1.041306,7.186025,-0.926990,0.892687,6.781878,-0.833831,0.583661,6.219643,-0.740542,0.459136,6.526815,-0.853029,0.411681,6.509921,81.098579,-13.353815,113.179626,126.398750,151.343948,1.0
79,3.931653,1,1,1,1,0.594303,0.950597,7.579464,-0.323607,1.033431,7.187603,-0.905635,0.830844,6.779187,-0.829318,0.496975,6.223016,-0.735565,0.373075,6.512442,-0.847913,0.325871,6.492104,79.794464,-16.696991,116.653809,123.556984,150.101807,1.0
80,3.965546,1,1,1,1,0.594687,0.951636,7.579955,-0.323396,1.029144,7.188259,-0.896643,0.801495,6.779216,-0.827041,0.459381,6.225577,-0.732820,0.336085,6.506711,-0.845126,0.289118,6.485191,79.233612,-18.240147,118.236633,122.318581,149.380478,1.0
81,4.033333,1,1,1,1,0.595111,0.953350,7.577757,-0.322921,1.016372,7.185519,-0.877690,0.732990,6.780090,-0.814937,0.370114,6.234318,-0.720252,0.249125,6.498408,-0.830433,0.203192,6.476374,78.139259,-22.026794,121.690323,119.395386,147.271103,1.0
82,4.067227,1,1,1,1,0.595196,0.953913,7.576036,-0.322699,1.010510,7.183361,-0.870248,0.704892,6.780481,-0.807654,0.331161,6.239586,-0.712431,0.211100,6.494979,-0.821819,0.165454,6.473074,77.726509,-23.639517,123.055237,118.023727,146.161057,1.0
83,4.101120,1,1,1,1,0.595079,0.954143,7.572849,-0.322434,1.003961,7.179414,-0.863481,0.677112,6.780213,-0.798228,0.291447,6.245268,-0.702194,0.172059,6.491783,-0.810792,0.126406,6.470188,77.390274,-25.216434,124.245911,116.492622,144.910599,1.0
84,4.168908,1,1,1,1,0.594825,0.954176,7.564094,-0.321952,0.989892,7.168981,-0.849651,0.619712,6.781213,-0.771758,0.203870,6.263697,-0.671214,0.085361,6.490033,-0.779914,0.038280,6.469914,77.003716,-28.572226,126.112785,112.086098,141.396286,1.0
85,4.202801,1,1,1,1,0.594876,0.954297,7.560360,-0.321766,0.984456,7.164638,-0.843241,0.596653,6.782435,-0.758779,0.167959,6.273903,-0.656101,0.049192,6.490262,-0.765140,0.001846,6.471438,77.003716,-29.953285,126.767975,109.980026,139.559753,1.0
86,4.270588,1,1,1,1,0.595451,0.954908,7.554355,-0.320834,0.975155,7.157382,-0.819928,0.550785,6.783283,-0.724879,0.096610,6.294729,-0.620236,-0.025534,6.496672,-0.730626,-0.071362,6.482009,76.585136,-32.929691,128.247360,105.000648,134.791367,1.0
87,4.304482,1,1,1,1,0.595839,0.955279,7.552106,-0.320095,0.971736,7.154362,-0.807762,0.532259,6.783152,-0.709302,0.067013,6.304485,-0.604226,-0.057199,6.500204,-0.714832,-0.101820,6.487752,76.353455,-34.175758,128.935471,102.818962,132.378723,1.0
88,4.372269,1,1,1,1,0.596873,0.955654,7.546906,-0.316446,0.964893,7.145477,-0.774969,0.489581,6.781814,-0.670417,0.005556,6.322519,-0.566498,-0.122637,6.511476,-0.671774,-0.166818,6.501671,75.613197,-37.076473,130.814423,98.255783,125.953018,1.0
89,4.406162,1,1,1,1,0.597180,0.955572,7.543685,-0.314316,0.961765,7.139745,-0.759485,0.469083,6.781299,-0.652155,-0.021801,6.330650,-0.549502,-0.150029,6.517239,-0.650916,-0.195275,6.507745,75.291748,-38.372684,131.667847,96.424805,122.680656,1.0
90,4.473950,1,1,1,1,0.597600,0.955434,7.535515,-0.308631,0.955417,7.124409,-0.721209,0.422073,6.781686,-0.607681,-0.082654,6.349165,-0.506702,-0.213182,6.530167,-0.599248,-0.262075,6.519335,74.622139,-41.648308,133.796173,92.357353,114.395058,1.0
